AGE,INITIAL HIRE DATE,JOB CATEGORY,EMPLOYEE ANNUAL BASE SALARY,EMPLOYEE HOME DEPARTMENT,PRIMARY WORKING TITLE
58,16-Jan-18,Extension / Engagement / Public Service Professional,49468,North Central District- Forsyt,Asst Extension Agent [04]
43,26-Mar-18,"IT Security Professional, Analyst/Engineer",126274,Security & Compliance,IT Security Professional III
41,1-Aug-14,Extension / Engagement / Public Service Professional,77845,The Science House-Sciences,Teaching Technician
61,4-Sep-12,Department Assistant,71760,Civil Const & Environ Engineer,University Program Specialist
31,10-Jul-13,"Sponsored Contracts / Grants Administration Professional, Restricted Funds Accountant",71477,Office of Contracts & Grants,Accountant
37,15-Jun-09,Assistant Professor,101072,Agricultural & Human Sciences,Asst Professor
62,15-May-03,Custodian / Housekeeper,35463,Housekeeping Svcs-Reg2,Building Environmental Technic
34,1-Jul-23,Lecturer,45000,English,Lecturer
48,1-Jul-15,Associate Professor,109124,Mathematics,Assoc Professor
52,1-Aug-03,Field Faculty AC,80542,South Central District - Stanl,"Ext County Dir [01,04,05]"
56,16-Aug-95,Academic Advising Professional,61785,College of Sciences - Dean,Academic Advisor
46,1-Jul-20,Assistant Professor,38641,History,Asst Professor
60,10-Jul-23,Administrative Assistant,56500,EHPS - AVC & Bus Office,Executive Assistant
32,31-Aug-10,Academic Services Professional,70720,NCSU Entrepreneurship Program,Director
36,1-Aug-22,"Research Professional, Life Sciences, Research Scholar",72800,Dept Molecular Biomedical Scie,Research Scholar
48,22-Jul-16,"Research Professional, Physical Sciences, Research Scholar",61355,"Marine, Earth And Atmospheric",Research Scholar
50,1-Jul-03,Associate Professor,101597,Psychology,Assoc Professor
41,22-Aug-22,Lecturer,65000,Computer Science-engr,Lecturer
33,16-Aug-21,Department Assistant,50591,Ofc of Research & Innovation,University Program Associate
49,12-Jun-99,Assistant Professor,91229,For & Envir Res Acad Research,Asst Teaching Professor
34,13-Sep-21,Finance / Budget Professional,85114,Foundations Accounting & Inves,Finance & Budget Analyst II
44,1-Apr-19,Institutional Policy / Compliance Professional,84817,Ofc of Research & Innovation,Coordinator
65,5-Sep-78,Administrative Assistant,48968,Computer Science-engr,Administrative Support Assoc
25,12-Jun-23,Student Activities Professional,54600,Fraternity and Sorority Life,Asst Director
53,6-Sep-17,"IT Systems Support Professional, Systems Programmer Supervisor",120586,Info Tech & Eng Computer Svcs,IT Manager II
51,1-Aug-96,Research Asst/Technician/Technologist,73305,Applied Aquatic Ecology Center,Research Operation Manager-Exe
27,2-Aug-21,"Development / Fundraising Professional, Donor Relatision/Stewardship Professional",64480,College of Sciences - Dean,Assoc Dir of Events & Don Rel
60,1-Sep-89,"IT Systems Support Professional, Systems Programmer Sr.",126733,Shared Services,Systems Programmer/Specialist
60,8-Jul-22,Trades Helper,42442,BM&O-Orig Campus,Facilities Maint Tech - Mechan
29,16-Mar-15,Engineering Technical/Paraprofessional,53775,BM&O-Orig Campus,Engr'g/Architectural Tech'n
46,22-Oct-07,Police / Public Safety Supervisor,93351,EHPS - Police Dept,Senior Police Supervisor III
39,7-Mar-22,"Development / Fundraising Professional, Major Gifts Sr.",167000,Libraries,Exec Director of Philanthropy
41,10-Sep-12,Graphical Design Paraprofessional,60523,NC Inst of Climate Studies,Visual Arts Specialist
74,8-Aug-14,Custodian / Housekeeper,34423,Housekeeping Services-Reg1,Building Enviro Tech'n - Shift
72,1-Feb-89,Professor,139558,"Food,Bioprocess & Nutrition Sc",Professor
51,25-Sep-09,"Assoc/Asst Dean, Agriculture",181884,CALS - Academic Programs,Assoc Dean & Director CALS
37,1-May-18,Extension / Engagement / Public Service Professional,62638,South Central District- Rowan,Assoc Extension Agent [03]
31,18-Nov-19,Administrative Assistant,46339,Advancement Services,Administrative Support Special
72,18-Aug-78,Professor,225809,Economics-Poole COM,Professor
52,1-Oct-08,Associate Professor,92694,Art and Design,Assoc Professor
24,15-May-23,"Academic Advising Professional, Advisor/Coordinator",52000,Advising & Exploratory Studies,Academic Advisor
33,1-Sep-23,"Academic Advising Professional, Advisor/Coordinator",54000,Communication,Academic Advisor
67,20-May-16,Skilled Craft Worker,64584,Const Svcs-Const Shop,Facilities Maint Tech'n - Mech
48,14-Aug-17,"Research Professional, Engineering",94927,Electrical & Computer Engr.,Integration Engineering Manage
51,13-May-13,Painter (Journeyman),45209,G&BS-Trade Shops,Facil Maint Tech'n - Bldg Tech
35,28-Jun-23,"Research Professional, Life Sciences",10400,Crop & Soil Sciences,Visiting Scholar
43,30-Aug-12,"Research Professional, Life Sciences",76227,Entomology & Plant Pathology,Director
71,1-Jul-87,Professor,184621,"Dept-Population,Health,Pathobi",Professor
23,17-Jul-23,Administrative Assistant,33000,Communication Technologies,Administrative Support Assoc
58,31-Aug-01,Professor,141088,Plant and Microbial Biology,Professor
47,17-May-04,Animal Care Technician,38798,Animal Resources,Research Technician-Nonexempt
30,16-Aug-17,Assistant Professor,72000,Nuclear Engineering,Asst Teaching Professor
39,29-Nov-22,Motor Vehicle Operator,41000,"Food,Bioprocess & Nutrition Sc",Vehicle/Equip Operator-Shift
60,1-Jul-95,General Maintenance Lead/Supervisor,46748,Housekeeping Svcs-Reg3-Athleti,Building Environmental Spvsr
60,21-Aug-03,Administrative / Office / Clerical Lead,41890,South Central District- Meckle,COSS Administrative Assistant
58,5-Aug-13,Electrician (Journeyman),54325,U&E-Central Utility Plant - Zo,Facilities Maint Tech - Mechan
47,1-Jul-18,Professor,206253,Materials Science &Engineering,"Professor, Univ Fac Scholar"
37,1-Jul-23,Lecturer,46310,English,Lecturer
62,1-Jul-98,Professor,56684,History,Professor
38,15-Jul-06,"Clerk, Materials",47689,Urban Affairs & Community Serv,Support Services Associate
47,16-Oct-23,Police Officer,57577,EHPS - Police Dept,Master Police Officer I
61,1-Sep-99,"Research Professional, Life Sciences, Research Assistant",65174,For & Envir Res Acad Research,Research Asst
33,10-Jan-14,"Research Asst/Tech, Life Science",41600,Phytotron,Research Technician-Nonexempt
80,1-Jul-03,Associate Professor,91164,School of Social Work,Assoc Professor
60,2-Jun-08,"IT Applications Professional, Programmer Analyst",86935,Info Tech & Eng Computer Svcs,Bus & Tech App Analyst
78,1-Jun-83,Professor,122009,Crop & Soil Sciences,Professor
52,20-Oct-09,Custodian / Housekeeper,35463,Housekeeping Svcs-Reg3,Building Environmental Technic
65,10-Dec-22,Assistant Coach - Football,884000,Football,Asst Coach
58,28-Apr-21,"Assoc/Asst Dean, Business",347543,MBA Program-Poole COM,Assoc Dean for Graduate Prog
44,25-Oct-21,"Librarian AC, Other",96876,Libraries,Librarian
35,1-Apr-20,Assistant Professor,104411,Civil Const & Environ Engineer,Asst Professor
27,26-Aug-14,"Academic Advising Professional, Advisor/Coordinator",43680,TRIO Programs,Academic Advisor
50,31-Jan-03,"Research Asst/Tech, Physical Science",59261,Nonwovens Institute,Research Specialist-Nonexempt
62,15-Aug-16,Research / Sponsored Projects Development Professional,109200,College of Natural Resources,Director
55,1-Feb-18,Extension / Engagement / Public Service Professional,71358,Southeast District - Wayne,Assoc Extension Agent [09]
35,19-Jan-15,Research / Sponsored Projects Development Professional,77501,College Of Education,Asst Director
36,20-Sep-06,Student Counseling / Student Health Professional AD,72980,Prevention Services,Coordinator
61,1-Jan-90,Library Assistant,45720,Libraries,University Library Technician
55,4-Jan-10,Foodservice Lead/Supervisor,40605,Dining and Catering Operations,Food Service Supervisor-Shift
36,1-Jan-10,Field Faculty AC,62799,Southeast District - Greene,"Ext County Dir [01,05,17]"
52,22-Oct-09,Administrative Assistant,41600,Utilities & Engineering,Administrative Support Assoc
50,23-Aug-07,"Instructional Design / Instructional Media Professional, Specialist",68359,DELTA,Instructional Technologist
36,18-Jan-07,Extension / Engagement / Public Service Professional,104263,ELPHD,Program Director
66,1-Jun-90,Professor,141468,Prestage Poultry Science,Extension Specialist
49,27-Nov-17,Administrative Assistant,37513,CVM Teaching Hospital,Admin Support Spec - Shift
28,15-Aug-22,"Athletics Training Professional, Trainer",54080,Athletics-Student Welfare &Dev,Asst Athletics Trainer
26,21-Aug-23,Department Assistant,47000,Acad Stu Aff-Development,University Program Associate
41,1-Jun-19,Assistant Professor,80542,"Sci, Tech, Engr & Math (STEM)",Asst Professor
46,14-Aug-23,Foodservice Lead/Supervisor,49000,Dining and Catering Operations,Food Service Supervisor-Shift
26,5-Sep-23,Extension / Engagement / Public Service Professional,43700,West District - Cherokee,Asst Extension Agent [DL]
39,12-Sep-16,Food Prep Worker,37659,Dining and Catering Operations,Food Service Technician-Shift
25,7-Jun-18,Administrative Assistant,35360,Dept of Clinical Sciences,Administrative Support Spec
68,31-Jul-23,Professor,175000,Applied Ecology,Head
32,1-Nov-23,"Research Professional, Life Sciences",48000,Crop & Soil Sciences,Visiting Scholar
36,22-May-06,"Research Professional, Life Sciences, Research Scholar",86112,Crop & Soil Sciences,Research Scholar
25,9-Aug-21,Animal Care Technician,36400,CVM Teaching Hospital,Medical Support Tech - Shift
28,1-Feb-23,"Development / Fundraising Professional, Annual Giving",59280,University Development,Asst Director
65,5-Aug-02,"IT Client Support Professional, Specialist",75499,CVM Teaching Hospital,Technology Support Analyst
48,14-Mar-22,"IT Systems Support Professional, Systems Administrator",84760,Computer Science-engr,IT System Administrator I
44,14-Oct-13,"IT Applications Professional, Programmer Analyst Supervisor",126670,Enterprise Application Svcs,IT Manager - Bus & Tech App
75,4-May-87,Professor,158702,"Marine, Earth And Atmospheric",Professor
49,1-Jan-97,Associate Professor,102377,Animal Science,Teaching Associate Professor
54,15-Aug-11,Nursing Technical/Paraprofessional,69245,Campus Health,Professional Nurse
38,3-Feb-20,"IT Applications Professional, Programmer Analyst",77600,Urban Affairs & Community Serv,Bus & Tech App Technician
61,1-Jul-00,Professor,195604,Nuclear Engineering,Professor
45,25-Jan-16,Veterinary Technician,47901,CVM Teaching Hospital,Medical Support Tech - Shift
43,4-May-22,Custodian / Housekeeper,33099,Housekeeping Svcs-Reg2-Res Hal,Building Environmental Technic
69,1-Jul-99,Professor,181401,English,Professor
28,1-Nov-21,Communications Specialist,57049,University Communications,Public Comm Specialist
53,19-Sep-01,Student Admissions / Recruitment Professional,84954,MBA Program-Poole COM,Assoc Director
47,8-Aug-05,Sponsored Contracts / Grants Administration Professional,65634,CALS Business Office,Sr Post Award Consultant
59,13-Jun-16,HVAC Mechanic (Journeyman),59381,BM&O-Central Shops,Facilities Maint Tech'n - Mech
27,8-Jan-21,"Extension / Engagement / Public Service Professional, Agricultural",51990,Ag And Natural Resources/comm,Farmworker Educator
61,29-Jul-11,Custodian / Housekeeper,35463,Housekeeping Svcs-Reg2,Building Environmental Technic
26,24-May-17,"Government Relations Professional, Entry",57200,NC Clean Energy Technology Ctr,Policy Analyst
36,1-Jul-13,Administrative / Office / Clerical Lead,42214,North Central District- Rockin,COSS Administrative Assistant
57,18-Jul-00,Assistant Professor,72038,Public & International Affairs,Director
45,16-Aug-06,"Research Professional, Conservation / Forestry",93849,Ctr. for Geospatial Analytics,Sr. Program Manager
32,2-Aug-21,"Student Counseling / Student Health Professional AD, Counselor",67600,Counseling Services,Counselor
39,16-Aug-09,"Research Professional, Physical Sciences, Research Assistant",51387,Design Research,Research Assoc
66,1-Aug-04,Executive Vice Chancellor,512279,Exec Vice Chancellor & Provost,Exec Vice Chancellor & Provost
33,15-Nov-19,"Research Professional, Life Sciences, Research Scholar",78000,"Dept-Population,Health,Pathobi",Research Scholar
46,18-May-16,Associate Professor,113957,For & Envir Res Acad Research,"Assoc Professor, Univ Fac Scho"
33,16-Aug-19,"Research Professional, Social Sciences, Research Assistant",52000,Friday Institute,Research Asst
35,12-Aug-16,Assistant Professor,95854,"Marine, Earth And Atmospheric",Asst Professor
64,1-Jul-91,Deputy College Librarian - Assoc Library Dean/Director,183073,Libraries,Deputy Dir of Libraries
40,9-Aug-21,Assistant Professor,93647,Plant and Microbial Biology,Asst Professor
34,23-May-22,"Engineer, Mechanical Systems",86872,Energy Management,Engineer
65,29-Oct-90,"IT Client Support Professional, Specialist",74248,EHPS Strategic Initiatives,Technology Support Analyst
42,4-May-15,"Business Operations Professional, Dept Business Mgr",88400,"Marine, Earth And Atmospheric",Business Manager I
45,12-Mar-18,"IT Security Professional, Analyst/Engineer",156078,Security & Compliance,Director
42,12-Nov-15,"IT Applications Professional, Programmer Analyst Supervisor",94288,Urban Affairs & Community Serv,IT Analyst/Programmer II
45,3-Mar-14,"IT Applications Professional, Web Developer",80080,IES Operations,IT Web Designer/Developer II
52,7-May-15,Professor,130000,Graphic & Industrial Design,"Professor, Univ Fac Scholar"
62,1-Jan-88,Student Services Coordinator,56832,TELS,Student Services Specialist
62,15-Mar-21,Administrative / Office / Clerical Lead,42497,Northeast District - Dare,COSS Administrative Assistant
45,28-Aug-17,"IT Client Support Professional, Specialist",79654,Technology Support Services,Technology Support Specialist
70,12-Jun-23,Skilled Craft Worker,44460,G&BS-Trade Shops,Facilities Maint Tech - Bldg T
42,19-Aug-00,Service / Maintenance Supervisor,52000,Transportation,Property Security Supervisor
41,1-Dec-15,Extension / Engagement / Public Service Professional,47974,Northeast District - Pitt,Asst Extension Agent [04]
36,8-Aug-22,Administrative Assistant,47104,Dining and Catering Operations,Admin Support Spec - Shift
33,12-Oct-13,Assistant Professor,140400,"Dept-Population,Health,Pathobi",Asst Clinical Professor
59,2-Jun-97,Finance / Budget Professional,170804,Athletics - Administration,Associate Athletics Director
63,3-Sep-13,Extension / Engagement / Public Service Professional,75654,West District - Buncombe,Extension Agent [12]
31,1-Jul-14,"Research Professional, Physical Sciences",84240,Institute For Trans Research &,Program Manager
40,11-Mar-11,Skilled Craft Worker,55739,Materials Support,Facilities Maint Tech - Mechan
35,23-Apr-19,Student Admissions / Recruitment Professional,114400,Accounting-Poole COM,Director
51,9-Nov-23,"Accounting Professional, Accountant",55000,College Business Services-PCOM,Accountant I
55,1-Jul-05,Professor,197600,Civil Const & Environ Engineer,"Professor, Univ Fac Scholar"
39,3-Mar-20,Department Assistant,44132,College of Sciences - Dean,Administrative Support Spec
44,1-Jan-10,Assistant Professor,65000,Graphic & Industrial Design,Asst Teaching Professor
40,26-Aug-03,Extension / Engagement / Public Service Professional,65271,North Central District - Count,Area Spec Agent [20]
60,1-Jan-01,Associate Professor,105479,Biochemistry,Teaching Assoc Professor
45,1-Jul-19,Assistant Professor,79749,School of Social Work,Asst Professor
25,28-Aug-23,Trades Helper,40810,BM&O-Centennial Campus,Facilities Maint Tech - Mechan
60,15-Apr-19,"Research Professional, Physical Sciences, Research Assistant",57200,Chemical & Biomolecular Engr,Research Asst
55,1-Jan-10,Lecturer,93687,Business Management-Poole COM,Lecturer
24,1-Jun-23,Student Affairs / Student Services Professional,52000,Student Leadership & Engagemt,Coordinator
58,25-May-04,"Sponsored Contracts / Grants Administration Professional, Specialist",58562,Adv Self-pwr Sys Integr SensrT,Int Lead Pre-Post Award Spec
60,8-Apr-02,Administrative Assistant,41955,Urban Affairs & Community Serv,Administrative Support Assoc
30,25-Sep-15,Extension / Engagement / Public Service Professional,52295,Southeast District - Brunswick,Asst Extension Agent [04]
47,11-Jan-19,"Librarian AC, Head of Acquisitions",99298,Libraries,Librarian
54,27-Feb-15,Associate Professor,108292,Horticultural Science,Assoc Professor
43,3-Jan-17,Real Estate Management Professional,135708,Univ Real Estate & Development,"Director, Real Estate Services"
52,1-Jul-14,Professor,39652,Performing Arts and Technology,Teaching Professor
84,1-Nov-92,Professor,191116,Physics,Professor
30,15-May-17,"Research Asst/Tech, Physical Science",53040,Nonwovens Institute,Research Specialist-Nonexempt
39,16-Aug-12,"Research Professional, Physical Sciences, Research Scholar",77501,Nuclear Engineering,Research Scholar
63,1-Aug-97,"Academic Advising Professional, Advisor/Coordinator",64820,Advising & Exploratory Studies,Academic Advisor
27,12-Jan-15,Extension / Engagement / Public Service Professional,42971,Northeast District - Pasquotan,Asst Extension Agent [13]
29,3-Aug-18,"Environmental Safety / Risk Management Professional, Specialist",65000,EHPS - Env Health & Safety,EHS Professional
49,28-Aug-00,"Media / Public Relations Professional, Program Manager (Television)",74505,"Outreach, Comm & Consulting",University Program Manager
64,1-Dec-98,Research / Sponsored Projects Development Professional,94857,College Of Education,Director
28,27-Jan-20,"IT Client Support Professional, Specialist",55780,EHPS - Security Apps & Tech,Technology Support Analyst
63,9-May-11,"Business Operations Professional, Dept Business Mgr",86320,Nuclear Engineering,Business Manager I
32,18-Sep-17,"Development / Fundraising Professional, Major Gifts Sr.",91494,Engineering Foundation,Director of Philanthropy I
41,18-Aug-08,Assistant Coach - Football,330644,Football,Asst Coach
39,22-Apr-15,Associate Professor,146697,Materials Science &Engineering,Assoc Professor
41,3-May-04,"Extension / Engagement / Public Service Professional, Agricultural",103756,Crop & Soil Sciences,Executive Director
59,16-Aug-90,"Laboratory Professional, Physical Sciences, Lab Coordinator",60751,Biological Sciences,Laboratory Supervisor
29,22-May-17,Library Assistant,45720,Libraries,University Library Tech -Shift
53,4-Aug-03,Administrative Assistant,49682,Biological And Agricultural En,Administrative Support Special
42,1-May-21,Assoc/Asst Vice Provost,171132,Inst. Strategy & Analysis,Asst Vice Provost
53,17-Jun-19,Chief Campus Parking / Transportation Administrator,172984,Transportation,Director of Transportation
50,1-Aug-97,"Research Professional, Life Sciences, Research Scholar",92037,Crop & Soil Sciences,Research Scholar
44,6-Nov-00,Research Asst/Technician/Technologist,47218,Dept of Clinical Sciences,Medical Laboratory Technician
39,4-Nov-05,Student Scholars / Honors Program Professional,70942,University Honors Program,Asst Director
63,1-Dec-03,Administrative Assistant,59499,FREEDM Center,Business Services Coordinator
57,7-Sep-04,Custodian / Housekeeper,35463,Housekeeping Svcs-Reg3,Building Environmental Technic
48,18-Apr-12,Custodian / Housekeeper,34423,Housekeeping Svcs-Reg3,Building Environmental Technic
67,14-Aug-96,Head Coach - Baseball,176530,Baseball,Head Coach
49,9-Aug-99,Chief Student Financial Aid Officer,170071,Scholarships & Financial Aid,Assoc Vice Provost
34,21-Aug-23,Audiovisual Technical/Paraprofessional,48000,Engineering Online,Multi-Media Technician
54,1-Jul-20,Professor,126881,School of Social Work,Professor
33,14-Sep-15,Trades Helper,60321,Housing Facilities Admin,Facilities Maint Tech - Mechan
50,22-Jun-23,Service / Maintenance Supervisor,77996,Dining and Catering Operations,Food Service Manager
24,12-Jun-23,Sponsored Contracts / Grants Administration Professional,60216,CALS Business Office,Pre-Award Consultant
33,25-Apr-22,Assistant Professor,101386,Crop & Soil Sciences,Asst Professor
66,7-Feb-18,Custodian / Housekeeper,34423,Housekeeping Svcs-Reg2-Res Hal,Building Environmental Technic
47,1-Mar-23,"Student Counseling / Student Health Professional AD, Psychologist",68640,Counseling Services,Counselor
55,1-Jul-15,Professor,174864,Nuclear Engineering,"Professor, Univ Fac Scholar"
34,7-Jan-12,Associate Professor,133390,Electrical & Computer Engr.,Assoc Professor
37,15-Feb-21,"Research Professional, Life Sciences, Principal Research Scholar",118170,IR-4 Project,Principal Research Scholar
43,20-Aug-00,Technology Transfer Professional,112731,Ofc of Research Commercializat,Senior Licensing Associate
54,25-Feb-19,"IT Client Support Professional, Specialist",67687,Institute For Trans Research &,Technology Support Analyst
44,14-May-01,"Extension / Engagement / Public Service Professional, Community Services Director",60108,West District - Madison,"Ext. County Dir. [01,05,13]"
49,1-Aug-02,Associate Professor,134372,Biological Sciences,Assoc Professor
34,15-Nov-21,Student Services Coordinator,52280,Civil Const & Environ Engineer,Student Services Specialist
40,1-May-18,Assistant Professor,82749,ELPHD,Asst Professor
